N oracion en cuento	Tipo	Cuento	Nombre	N de Oracion global	Oracion	Largo
113	1	5	Cansino	630	Me dijo que iba a jugar al día siguiente, que estaba perfecto.	62
115	1	5	Cansino	632	Le dije que no, que lamentablemente sólo hablaba castellano.	60
135	1	5	Cansino	652	Empieza el segundo tiempo y el Loco estaba desatado.	52
139	1	5	Cansino	656	Me doy vuelta y veo llegar, por detrás del estadio, una ambulancia, a toda velocidad.	85
141	1	5	Cansino	658	Me acerco, entonces, a riesgo de que me consideraran un entrometido.	68
144	1	5	Cansino	661	Según el médico, había que encerrarlo de inmediato porque era muy peligroso.	76
19	1	6	negro	702	Daban lástima, ahí encerrados esperando que alguien viniera a buscarlos.	72
31	1	6	negro	714	Nos lo entregaron en una caja de cartón a la que sólo le faltaba el moño.	73
40	1	6	negro	723	Yo no hablaba con él como hacían los otros chicos, o como mi papá y mi mamá.	76
43	1	6	negro	726	Los gatos tienen un lenguaje que no comprenden quienes no aceptan el misterio.	78
50	1	6	negro	733	Mis amigos del colegio no sabían nada de la ciudad en la que yo había nacido.	77
54	1	6	negro	737	Por supuesto que me encantaba la idea de poder volver a verla y jugar con ella.	79
69	1	6	negro	752	Pero era el mío y ahora podíamos volver y mi curiosidad se había despertado.	76
74	1	6	negro	757	Puedo mostrarte el mundo entero si te animas a subir conmigo alto, muy alto.	76
99	1	6	negro	782	Eran perros amaestrados, como esos que tiene la policía.	56
118	1	6	negro	801	Cuando saltó tenía la boca muy abierta y le corría la baba entre los colmillos.	79
146	1	6	negro	829	Hacía frío y nevaba, lo que me hizo temer que no pudiéramos salir de casa.	74
150	1	6	negro	833	En París, el invierno es riguroso y a las cuatro de la tarde ya está oscuro.	76
153	1	6	negro	836	Para mí era un mundo fascinante y desconocido: el reino de las alturas.	71
156	1	6	negro	839	Miré los contornos de los edificios y las pesadas sombras de la tormenta.	73
175	1	6	negro	858	Se hizo primero una inmensa luz blanca que me encegueció por un instante.	73
0	1	7	Carta Paris	929	Andrée, yo no quería venirme a vivir a su departamento de la calle Suipacha.	76
7	1	7	Carta Paris	936	Usted sabe por qué vine a su casa, a su quieto salón solicitado de mediodía.	76
8	1	7	Carta Paris	937	Todo parece tan natural, como siempre que no se sabe la verdad.	63
11	1	7	Carta Paris	940	Me mudé el jueves pasado, a las cinco de la tarde, entre niebla y hastío.	73
13	1	7	Carta Paris	942	Pero hice las maletas, avisé a la mucama que vendría a instalarme, y subí en el ascensor.	89
21	1	7	Carta Paris	950	Todo es veloz e higiénico, transcurre en un brevísimo instante.	63
30	1	7	Carta Paris	959	Mire usted, yo tenía perfectamente resuelto el problema de los conejitos.	73
42	1	7	Carta Paris	971	Al cruzar el tercer piso el conejito se movía en mi mano abierta.	65
65	1	7	Carta Paris	994	Me llevo las llaves del dormitorio al partir a mi empleo.	57
81	1	7	Carta Paris	1010	Son las tres de la tarde, pero le escribo en la noche de ellos.	63
98	1	7	Carta Paris	1027	Interrumpí esta carta porque debía asistir a una tarea de comisiones.	69
109	1	7	Carta Paris	1038	He querido en vano sacar los pelos que estropean la alfombra.	61
111	1	7	Carta Paris	1040	Es casi extraño que no me importe verlos brincar en busca de juguetes.	70
113	1	7	Carta Paris	1042	En cuanto a mí, del diez al once hay como un hueco insuperable.	63
117	1	7	Carta Paris	1046	Está este balcón sobre Suipacha lleno de alba, los primeros sonidos de la ciudad.	81
