0,0,[1;2;3;4;5;6;7;8;9;10;11;12;13]
1,1,[1;2;3;4;5;6;7;8;9;10;11]
2,2,[1;2;3;4;5;6;7;8;9;10;11;12;13;14]
3,3,[1;2;3;4;5;6;7;8;9;10]
4,4,[1;2;3;4;5;6;7;8;9;10;11;12;13;14;15]
5,5,[1;2;3;4;5;6;7;8;9;10]
6,6,[1;2;3;4;5;6;7;8;9;10;11;12]
7,7,[1;2;3;4;5;6;7;8;9;10;11;12;13]
8,8,[1;2;3;4;5;6;7;8;9]
9,9,[1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16]
10,10,[1;2;3;4;5;6;7;8;9]
11,11,[1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17]
12,12,[1;2;3;4;5;6;7;8;9;10;11;12;13]
13,13,[1;2;3;4;5;6;7;8;9;10;11;12;13;14]
14,14,[1;2;3;4;5;6;7;8;9;10;11;12;13;14]
15,15,[1;2;3;4;5;6;7;8;9;10;11]
16,16,[1;2;3;4;5;6;7;8;9;10]
17,17,[1;2;3;4;5;6;7;8;9;10]
18,18,[1;2;3;4;5;6;7;8;9;10;11;12;13;14;15]
19,19,[1;2;3;4;5;6;7;8;9;10;11;12]
20,20,[1;2;3;4;5;6;7;8]
21,21,[1;2;3;4;5;6;7;8;9;10;11;12]
22,22,[1;2;3;4;5;6;7;8;9]
23,23,[1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16]
24,24,[1;2;3;4;5;6;7;8;9;10;11;12;13]
25,25,[1;2;3;4;5;6;7;8;9]
26,26,[1;2;3;4;5;6;7;8;9;10;11;12]
27,27,[1;2;3;4;5;6;7;8;9;10;11;12]
28,28,[1;2;3;4;5;6;7;8;9;10;11;12;13]
29,29,[1;2;3;4;5;6;7;8;9;10;11;12;13]
30,30,[1;2;3;4;5;6;7;8;9]
31,31,[1;2;3;4;5;6;7;8;9;10;11;12]
32,32,[1;2;3;4;5;6;7;8;9;10;11;12;13;14]
33,33,[1;2;3;4;5;6;7;8;9;10;11;12;13]
34,34,[1;2;3;4;5;6;7;8;9;10;11]
35,35,[1;2;3;4;5;6;7;8]
36,36,[1;2;3;4;5;6;7;8;9]
37,37,[1;2;3;4;5;6]
38,38,[1;2;3;4;5;6;7;8;9;10;11]
39,39,[1;2;3;4;5;6;7]
40,40,[1;2;3;4;5;6;7;8;9;10]
41,41,[1;2;3;4;5;6;7;8;9;10;11;12;13]
42,42,[1;2;3;4;5;6;7;8;9;10]
43,43,[1;2;3;4;5;6;7;8;9;10;11]
44,44,[1;2;3;4;5;6;7;8;9;10;11;12;13;14]
45,45,[1;2;3;4;5;6;7;8;9;10]
46,46,[1;2;3;4;5;6;7;8]
47,47,[1;2;3;4;5;6;7;8;9;10;11;12;13;14]
48,48,[1;2;3;4;5;6;7;8;9;10;11]
49,49,[1;2;3;4;5;6;7;8;9;10;11;12;13]
50,50,[1;2;3;4;5;6;7;8;9;10;11;12]
51,51,[1;2;3;4;5;6;7;8;9;10;11]
52,52,[1;2;3;4;5;6;7;8;9;10;11;12]
53,53,[1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16]
54,54,[1;2;3;4;5;6;7;8;9;10]
55,55,[1;2;3;4;5;6;7;8;9;10;11;12]
