N oracion en cuento	Tipo	Cuento	Nombre	N de Oracion global	Oracion	Largo
0	0	0	Control	0	Todos en la sala cantaron: "Vivamos unidos con Dios".	53
1	0	0	Control	1	Y finalmente proclamó: "Alguno de ustedes recibirá un castigo ejemplar".	72
