0,0,[1;2;3;4;5;6;7;8]
1,1,[1;2;3;4;5;6]
2,2,[1;2;3;4;5]
3,3,[1;2;3;4;5]
4,4,[1;2;3;4]
5,5,[1;2;3;4;5;6]
6,6,[1;2;3;4;5;6;7]
7,7,[1;2;3]
8,8,[1;2;3]
9,9,[1;2;3;4;5]
10,10,[1;2;3;4;5;6;7;8;9;10]
11,11,[1;2;3;4;5;6;7;8;9;10]
12,12,[1;2;3;4;5;6]
13,13,[1;2;3;4]
14,14,[1;2;3;4;5;6;7;8]
15,15,[1;2;3;4;5;6;7;8]
16,16,[1;2;3;4;5]
17,17,[1;2;3;4;5;6]
18,18,[1;2;3;4;5;6;7]
19,19,[1;2;3]
20,20,[1;2;3]
21,21,[1;2;3;4;5;6;7]
22,22,[1;2;3;4;5;6;7]
23,23,[1;2;3;4;5;6]
24,24,[1;2;3;4]
25,25,[1;2;3;4;5;6]
26,26,[1;2;3;4;5]
27,27,[1;2;3;4;5;6;7;8]
28,28,[1;2;3;4;5;6;7;8;9;10;11]
29,29,[1;2;3;4;5]
30,30,[1;2;3;4;5;6;7;8;9;10]
31,31,[1;2;3;4;5]
32,32,[1;2;3;4;5]
33,33,[1;2;3;4;5]
34,34,[1;2;3;4;5;6;7;8;9;10]
35,35,[1;2;3;4;5;6;7;8;9;10;11;12]
36,36,[1;2;3;4;5;6;7]
37,37,[1;2;3;4;5]
38,38,[1;2;3;4;5;6;7;8]
39,39,[1;2;3;4;5]
40,40,[1;2;3;4;5;6;7]
41,41,[1;2;3;4;5;6;7;8]
42,42,[1;2;3;4;5;6;7;8;9;10;11;12]
43,43,[1;2;3;4]
44,44,[1;2;3;4;5;6;7;8]
45,45,[1;2;3;4;5;6]
46,46,[1;2;3;4;5;6;7;8;9]
47,47,[1;2;3;4]
48,48,[1;2;3;4;5;6;7;8]
49,49,[1;2;3;4;5]
50,50,[1;2;3;4;5;6;7;8]
51,51,[1;2;3;4;5;6]
52,52,[1;2;3;4;5;6]
53,53,[1;2;3;4;5;6;7;8;9]
54,54,[1;2;3;4;5;6]
55,55,[1;2;3;4;5]
56,56,[1;2;3]
57,57,[1;2;3;4;5;6]
58,58,[1;2;3;4]
59,59,[1;2;3;4;5;6;7;8]
60,60,[1;2;3;4;5;6;7;8]
61,61,[1;2;3;4;5;6]
62,62,[1;2;3;4;5;6;7]
63,63,[1;2;3;4;5;6]
64,64,[1;2;3;4;5;6;7]
65,65,[1;2;3]
66,66,[1;2;3;4;5;6;7;8;9;10]
67,67,[1;2;3;4;5;6;7;8]
68,68,[1;2;3;4;5;6;7]
69,69,[1;2;3;4;5;6;7;8]
70,70,[1;2;3;4;5;6]
71,71,[1;2;3;4;5]
72,72,[1;2;3;4;5;6;7]
73,73,[1;2;3;4;5;6;7]
74,74,[1;2;3;4;5;6]
75,75,[1;2;3;4;5;6;7;8]
76,76,[1;2;3;4;5;6;7]
77,77,[1;2;3;4;5;6;7;8;9]
78,78,[1;2;3;4;5;6]
79,79,[1;2;3;4;5;6]
80,80,[1;2;3;4;5;6]
81,81,[1;2;3;4;5;6]
82,82,[1;2;3;4;5;6;7]
83,83,[1;2;3;4;5;6;7;8;9]
84,84,[1;2;3;4;5;6;7;8]
85,85,[1;2;3;4;5]
86,86,[1;2;3;4;5]
87,87,[1;2;3;4;5;6]
88,88,[1;2;3;4]
89,89,[1;2;3;4;5;6;7]
90,90,[1;2;3;4;5;6]
91,91,[1;2;3;4;5;6;7;8;9]
92,92,[1;2;3;4;5]
93,93,[1;2;3;4;5;6]
94,94,[1;2;3;4]
95,95,[1;2;3;4;5;6;7;8]
96,96,[1;2;3;4;5;6]
97,97,[1;2;3;4;5;6;7]
98,98,[1;2;3;4;5;6;7;8;9;10]
99,99,[1;2;3;4;5;6]
100,100,[1;2;3;4;5;6]
101,101,[1;2;3;4;5;6]
102,102,[1;2;3;4;5;6;7]
103,103,[1;2;3;4;5;6;7]
104,104,[1;2;3;4;5]
105,105,[1;2;3;4;5;6;7]
106,106,[1;2;3;4;5;6;7;8;9]
107,107,[1;2;3;4;5;6;7]
108,108,[1;2;3;4;5;6;7]
109,109,[1;2;3;4;5;6;7]
110,110,[1;2;3;4;5;6;7]
111,111,[1;2;3;4;5;6;7;8]
112,112,[1;2;3;4;5;6;7]
113,113,[1;2;3;4;5;6]
114,114,[1;2;3;4;5;6;7]
115,115,[1;2;3;4;5]
116,116,[1;2;3;4;5;6]
117,117,[1;2;3;4;5;6]
118,118,[1;2;3;4;5;6]
119,119,[1;2;3;4;5;6;7]
120,120,[1;2;3;4;5;6]
121,121,[1;2;3;4;5;6;7;8]
122,122,[1;2;3;4;5;6;7]
123,123,[1;2;3;4;5;6;7]
124,124,[1;2;3;4;5;6;7]
125,125,[1;2;3;4;5;6;7;8;9]
126,126,[1;2;3;4;5]
127,127,[1;2;3;4;5;6;7;8]
128,128,[1;2;3;4;5;6;7;8]
129,129,[1;2;3;4;5;6;7;8]
130,130,[1;2;3;4;5;6;7]
131,131,[1;2;3;4;5;6]
132,132,[1;2;3;4;5;6]
133,133,[1;2;3;4;5;6;7;8]
134,134,[1;2;3;4;5;6]
135,135,[1;2;3;4;5;6]
136,136,[1;2;3;4;5;6]
137,137,[1;2;3;4;5;6;7;8]
138,138,[1;2;3;4;5;6;7]
139,139,[1;2;3;4;5;6]
140,140,[1;2;3;4;5;6]
141,141,[1;2;3;4;5;6]
